,n,avg iterations,average moves,average time
0,14.0,13021.0,2954.0,0.040516018867492676
1,15.0,9561.0,2037.0,0.027827394008636475
2,16.0,74291.0,15104.0,0.15615378379821776
3,17.0,44632.0,8499.0,0.10519993782043457
